"name","meaning","categories"
"Akacja różowa","moja miłość jest platoniczna","miłość platoniczna"
"Akant","nic nie zdoła nas rozdzielić","miłość romantyczna"
"Aksamitka","jesteśmy sobie przeznaczeni, pragnę być blisko ciebie","miłość romantyczna"
"Amarylis","jestem nieśmiała/ nieśmiały","cechy nadawcy"
"Ambrozja","ta miłość jest odwzajemniona","wyznania"
"Anturium","uwielbiam cię","wyznania"
"Aster","uszczęśliwiasz mnie każdego dnia, jestem wiecznym optymistą/ wieczną optymistką","wpływ"
"Azalia","to pierwsza miłość, jestem tobą zauroczony/ zauroczona, czuły romans","miłość romantyczna"
"Azalia indyjska","moja decyzja była nieprzemyślana","cechy nadawcy"
"Barwinek","szkolna przyjaźń","przyjaźń"
"Barwinek biały","zostały nam miłe wspomnienie","smutek/żal"
"Begonia","uważaj, bywam kapryśna","ostrzeżenia"
"Begonia czerwona","bierz los w swoje ręce","nadzieja/chęci"
"Berberys","bystrość","cechy odbiorcy"
"Bez fioletowy","moje serce należy tylko do ciebie, kocham cię","wyznania"
"Bratek żółty","jestem zazdrosny/ zazdrosna","zazdrość"
"Bluszcz","nasze uczucie jest wieczne (zarówno miłość jak i przyjaźń)","miłość romantyczna"
"Cebulica","jesteś okrutna","cechy odbiorcy"
"Centuria","nasza miłość jest doskonała, jesteśmy szczęśliwi","miłość romantyczna"
"Ciemiernik","pokładałam/ pokładałem w tobie zbyt dużo nadziei","smutek/żal"
"Chaber bławatek","nie mam odwagi, by wyznać ci uczucia","cechy nadawcy"
"Chryzantema biała","stara miłość nie rdzewieje, jestem wdzięczny/ wdzięczna","wyznania"
"Chryzantema czerwona","bądź moją miłością","miłość romantyczna"
"Chryzantema żółta","już Ci nie wierzę","nienawiść"
"Cyklamen","czy będziesz ze mną? Żegnaj!","pytania"
"Cykuta","zdrada","nienawiść"
"Cynia","gasisz moje uczucia, bądźmy przyjaciółmi","odpowiedź"
"Czarnuszka","pocałuj mnie","prośba/propozycja"
"Czeremcha","efekciarstwo","cechy odbiorcy"
"Dalia","dlaczego mnie odtrącasz?","pytania"
"Driakiew","rozstanie","smutek/żal"
"Dymnica","jesteś zła i okrutna","nienawiść"
"Dziewanna","jakie są twoje zamiary?","pytania"
"Dziewięciosił","pohamuj swe zapędy","ostrzeżenia"
"Dzięgiel","namiętność, inspiracja","miłość romantyczna"
"Dzika Róża","romantyczna miłość, oczarowałaś/ oczarowałeś mnie","miłość romantyczna"
"Dzwonek","zgadnij, co myślę; uśmiechnij się","pytania"
"Dzwonek polny","odgadnij moje myśli; powiedz czego oczekujesz?","pytania"
"Esparceta","jeszcze się waham","nadzieja/chęci"
"Eukaliptus","kocham podróże, podróżuj ze mną","prośba/propozycja"
"Farbownik","okłamujesz mnie","nienawiść"
"Figa","pragnę cię","wyznania"
"Fiołek","nasza miłość jest dla innych tajemnicą; skromność nie pozwala mi żywić nadziei","miłość romantyczna"
"Fiołek podwójny","podzielam twoje uczucia","odpowiedź"
"Fiołek wonny","tęsknię za tobą, smutno mi bez ciebie","tęsknota"
"Firletka","moja sympatia nie zna granic","miłość romantyczna"
"Floks biały","kocham cię","wyznania"
"Floks fioletowy","marzę o tobie","tęsknota"
"Floks niebieski","ta miłości jest złudzeniem","smutek/żal"
"Forsycja","czekam","tęsknota"
"Frezja","pragnę miłości, przebywanie z tobą sprawia mi radość","miłość romantyczna"
"Frezja biała","chcę być tylko z tobą; jesteś taka delikatna","miłość romantyczna"
"Frezja czerwona","cieszy mnie twoja obecność","wpływ"
"Frezja liliowa","onieśmielasz mnie","wpływ"
"Frezja różowa","oddajmy się marzeniom; poflirtujmy","prośba/propozycja"
"Fuksja","widzę, że się starasz, ale tracisz czas","odpowiedź"
"Gajlardia nadobna","entuzjazm","inne pozytywne emocje"
"Gardenia","kocham cię w tajemnicy, nie śmiem wyznać ci miłości","miłość romantyczna"
"Gazania","uważaj na wyznania, stłum namiętność","ostrzeżenia"
"Heliotrop","miłosna atmosfera","miłość romantyczna"
"Hiacynt","cierpię i żyję dla Ciebie","miłość romantyczna"
"Hiacynt biały","bezinteresowna sympatia","przyjaźń"
"Hiacynt fioletowy","""bądź dla mnie bardziej czuła","prośba/propozycja"
"Hiacynt niebieski","mam podejrzenia co do twej stałości","zazdrość"
"Hiacynt różowy","gorliwość","cechy nadawcy"
"Hibiskus","jesteś subtelną pięknością","cechy odbiorcy"
"Hortensja kulista","zanadto się wywyższasz","cechy odbiorcy"
"Irys","""uwierz w moje uczucia","wyznania"
"Irys fioletowy","twoje oczy doprowadzają mnie do szaleństwa","wpływ"
"Irys niebieski","wkrótce czeka cię dobra nowina","przepowiednie"
"Irys płomienny","płonę z miłości do Ciebie","miłość romantyczna"
"Irys żółty","bieda to nie wada","cechy nadawcy"
"Jałowiec ciernisty","wytrwałość w uczuciach","cechy nadawcy"
"Jarzębina","zgadzam się z tobą we wszystkim","odpowiedź"
"Jaskier","promieniujesz urokiem","wpływ"
"Jaśmin","""kocham cię skrycie i pragnę","miłość romantyczna"
"Jaśmin biały","nasza miłość będzie łagodna","miłość romantyczna"
"Jaśmin czerwony","nasza miłość będzie szaleństwem","miłość romantyczna"
"Jaśmin hiszpański","namiętność uczuć","miłość romantyczna"
